EnsemblID,baseMean,baseMean_GroupA,baseMean_GroupB,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000168214,3158.360907,4958.48848,1358.233335,-1.868292261,0.886414737,-2.107695397,0.035057346,0.99964765
ENSG00000168411,3970.356124,5409.044648,2531.667601,-1.095231876,0.510867301,-2.143867641,0.032043494,0.99964765
ENSG00000169136,795.0416596,1108.934021,481.1492983,-1.204678407,0.519664437,-2.318185199,0.020439258,0.99964765
ENSG00000169299,2533.39428,3827.910403,1238.878157,-1.627674582,0.759175689,-2.144002509,0.032032686,0.99964765
ENSG00000169981,215.2844054,329.2983916,101.2704192,-1.702406636,0.628910314,-2.706914797,0.006791168,0.99964765
ENSG00000170270,408.2020108,617.1562324,199.2477893,-1.631090521,0.621811072,-2.623128785,0.008712633,0.99964765
ENSG00000170498,117.9332653,180.4895959,55.37693466,-1.707118437,0.848792842,-2.011230954,0.044301068,0.99964765
ENSG00000170779,3121.355357,4329.050729,1913.659985,-1.177790614,0.513047513,-2.295675519,0.021694441,0.99964765
ENSG00000173473,4025.654196,5615.867567,2435.440824,-1.205320396,0.471217045,-2.55788794,0.010531002,0.99964765
ENSG00000173542,1366.245299,1917.909243,814.5813564,-1.235565888,0.520011398,-2.376036166,0.017499747,0.99964765
ENSG00000173598,1641.291091,2417.443821,865.1383611,-1.482541174,0.487145284,-3.043324495,0.002339799,0.99964765
ENSG00000175592,11003.83578,15345.58542,6662.08613,-1.203756344,0.538085548,-2.237109598,0.025279178,0.99964765
ENSG00000176018,1147.962393,1747.568383,548.3564038,-1.672486926,0.672669673,-2.486342098,0.012906383,0.99964765
ENSG00000176890,1691.0984,2251.672016,1130.524783,-0.993969137,0.506513678,-1.962373733,0.049718989,0.99964765
ENSG00000176912,30.10930497,47.86584363,12.35276632,-1.948461166,0.941869209,-2.068717342,0.038572619,0.99964765
ENSG00000180776,4007.467174,5501.054261,2513.880087,-1.129724658,0.523454502,-2.158209842,0.030911521,0.99964765
ENSG00000181450,300.3610728,455.3368703,145.3852753,-1.647017377,0.516722013,-3.187434125,0.001435412,0.99964765
ENSG00000182118,287.3341209,444.3914307,130.2768112,-1.771099403,0.590108439,-3.001311771,0.002688192,0.99964765
ENSG00000182481,12934.84988,18133.13192,7736.567844,-1.228840303,0.552677103,-2.223432627,0.026186642,0.99964765
ENSG00000182551,1532.003584,2277.196746,786.8104213,-1.532966368,0.563473269,-2.720566269,0.006517021,0.99964765
